Click: 0.028| Request: 0.007| bash code: 0.020128003| The delay time: 0.0551279296875
Click: 0.001| Request: 0.001| bash code: 0.232923844| The delay time: 0.234923828125
Click: 0.001| Request: 0.001| bash code: 0.021800659| The delay time: 0.023800537109375
Click: 0.001| Request: 0.001| bash code: 0.019572676| The delay time: 0.02157275390625
Click: 0.001| Request: 0.001| bash code: 0.021115675| The delay time: 0.02311572265625
Click: 0.001| Request: 0.001| bash code: 0.021402358| The delay time: 0.02340234375
Click: 0.001| Request: 0.001| bash code: 0.021065947| The delay time: 0.02306591796875
Click: 0.001| Request: 0.001| bash code: 0.020917789| The delay time: 0.022917724609375
Click: 0.001| Request: 0| bash code: 0.020692561| The delay time: 0.021692626953125
Click: 0| Request: 0.003| bash code: 0.039162231| The delay time: 0.042162109375
Click: 0| Request: 0.001| bash code: 0.169818892| The delay time: 0.17081884765625
Click: 0| Request: 0.001| bash code: 0.022583238| The delay time: 0.023583251953125
Click: 0| Request: 0.001| bash code: 0.020790273| The delay time: 0.021790283203125
Click: 0| Request: 0.001| bash code: 0.021675665| The delay time: 0.02267578125
Click: 0.001| Request: 0| bash code: 0.021408865| The delay time: 0.022408935546875
Click: 0| Request: 0.001| bash code: 0.034098844| The delay time: 0.035098876953125
Click: 0| Request: 0.001| bash code: 0.02077072| The delay time: 0.021770751953125
Click: 0| Request: 0.001| bash code: 0.026769944| The delay time: 0.02777001953125
Click: 0| Request: 0.001| bash code: 0.042190712| The delay time: 0.043190673828125
Click: 0| Request: 0.001| bash code: 0.026203583| The delay time: 0.02720361328125
Click: 0| Request: 0.002| bash code: 0.022670431| The delay time: 0.02467041015625
Click: 0| Request: 0.001| bash code: 0.162619487| The delay time: 0.163619384765625
Click: 0| Request: 0.001| bash code: 0.0194553| The delay time: 0.020455322265625
Click: 0| Request: 0.001| bash code: 0.033268827| The delay time: 0.034268798828125
Click: 0| Request: 0.001| bash code: 0.195867081| The delay time: 0.1968671875
Click: 0.001| Request: 0.001| bash code: 0.021812681| The delay time: 0.023812744140625
Click: 0| Request: 0.001| bash code: 0.020707957| The delay time: 0.0217080078125
Click: 0| Request: 0.001| bash code: 0.021464846| The delay time: 0.02246484375
Click: 0| Request: 0.002| bash code: 0.086232427| The delay time: 0.088232421875
Click: 0| Request: 0.005| bash code: 0.104134353| The delay time: 0.10913427734375
Click: 0| Request: 0.001| bash code: 0.020496839| The delay time: 0.021496826171875
Click: 0| Request: 0.001| bash code: 0.021134361| The delay time: 0.02213427734375
Click: 0| Request: 0.002| bash code: 0.021076093| The delay time: 0.023076171875
Click: 0| Request: 0.001| bash code: 0.107648305| The delay time: 0.108648193359375
Click: 0| Request: 0.001| bash code: 0.114877603| The delay time: 0.115877685546875
Click: 0| Request: 0.002| bash code: 0.020970837| The delay time: 0.022970947265625
Click: 0| Request: 0.001| bash code: 0.036496862| The delay time: 0.037496826171875
Click: 0.001| Request: 0.001| bash code: 0.09833772| The delay time: 0.100337646484375
Click: 0| Request: 0.001| bash code: 0.022103789| The delay time: 0.023103759765625
Click: 0| Request: 0.001| bash code: 0.019933497| The delay time: 0.02093359375
Click: 0| Request: 0.001| bash code: 0.033242243| The delay time: 0.0342421875
Click: 0| Request: 0.001| bash code: 0.067395399| The delay time: 0.0683955078125
Click: 0| Request: 0.001| bash code: 0.02117256| The delay time: 0.022172607421875
Click: 0| Request: 0.001| bash code: 0.035995602| The delay time: 0.03699560546875
Click: 0.001| Request: 0.001| bash code: 0.019874009| The delay time: 0.0218740234375
Click: 0| Request: 0.001| bash code: 0.02147512| The delay time: 0.02247509765625
Click: 0.001| Request: 0.001| bash code: 0.021542678| The delay time: 0.023542724609375
Click: 0| Request: 0.001| bash code: 0.022292345| The delay time: 0.023292236328125
Click: 0| Request: 0.001| bash code: 0.044116464| The delay time: 0.045116455078125
Click: 0.001| Request: 0.001| bash code: 0.020618294| The delay time: 0.022618408203125
